"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"Parent Molecule ChEMBL ID"
"CHEMBL422872";"AZD-4769";"Small molecule";"1";"None";"";"O=C(O)CSC(CCCc1ccccc1)c1ccc(OCc2ccc3ccccc3n2)cc1";"Epidermal growth factor receptor erbB1 inhibitor";"No further data/studies for the compound found.";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL422872': [{'ref_id': 'http://adisinsight.springer.com/drugs/800024847', 'ref_url': 'http://adisinsight.springer.com/drugs/800024847', 'ref_type': 'Other'}]}";"Azd-4769";"CHEMBL422872"
"CHEMBL4298088";"CETUXIMAB SAROTALOCAN";"Antibody drug conjugate";"2";"None";"'-mab'";"None";"Epidermal growth factor receptor erbB1 binding agent";"ErbB1-targeting MAB conjugated to a photosenstising dye.";"";"CHEMBL203";"Epidermal growth factor receptor";"BINDING AGENT";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4298088': [{'ref_id': 'https://www.who.int/medicines/publications/druginformation/innlists/PL120.pdf', 'ref_url': 'https://www.who.int/medicines/publications/druginformation/innlists/PL120.pdf', 'ref_type': 'Other'}, {'ref_id': '19707318', 'ref_url': 'http://europepmc.org/abstract/MED/19707318', 'ref_type': 'PubMed'}]}";"Cetuximab sarotalocan (INN, USAN)|Cetuximab sarotalocan sodium (JAN)|";"CHEMBL4298088"
"CHEMBL3786343";"OLMUTINIB";"Small molecule";"4";"2016";"'-tinib'";"C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1";"Epidermal growth factor receptor erbB1 inhibitor";"EGFR mutant selective including both activating mutations and T790M (PMID: 26508839). Covalent binder (PMID: 27357069).";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3786343': [{'ref_id': 'http://www.hanmipharm.com/ehanmi/img/rnd/2013_WCLC_(HM61713).pdf', 'ref_url': 'http://www.hanmipharm.com/ehanmi/img/rnd/2013_WCLC_(HM61713).pdf', 'ref_type': 'Other'}, {'ref_id': '26508839', 'ref_url': 'http://europepmc.org/abstract/MED/26508839', 'ref_type': 'PubMed'}]}";"Olmutinib (INN, USAN)|Olmutinib hydrochloride (USAN)|";"CHEMBL3786343"
"CHEMBL3544983";"TESEVATINIB";"Small molecule";"3";"None";"'-tinib'";"COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3544983': [{'ref_id': 'http://kadmon.com/press/kadmon-corporation-presents-encouraging-nonclinical-data-on-tesevatinib-kd019-at-aacr-annual-meeting/', 'ref_url': 'http://kadmon.com/press/kadmon-corporation-presents-encouraging-nonclinical-data-on-tesevatinib-kd019-at-aacr-annual-meeting/', 'ref_type': 'Other'}, {'ref_id': '17575237', 'ref_url': 'http://europepmc.org/abstract/MED/17575237', 'ref_type': 'PubMed'}, {'ref_id': '22173702', 'ref_url': 'http://europepmc.org/abstract/MED/22173702', 'ref_type': 'PubMed'}]}";"Tesevatinib tosylate (USAN)|Tesevatinib (INN, USAN)|";"CHEMBL3544983"
"CHEMBL4297865";"ABIVERTINIB";"Small molecule";"3.0";"None";"'-tinib'";"C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1";"Epidermal growth factor receptor erbB1 inhibitor";"";"Enhanced activity against 'activated' and T790M-type EGFR mutants";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4297866': [{'ref_id': 'NCT02330367', 'ref_url': 'https://www.clinicaltrials.gov/ct2/show/NCT02330367', 'ref_type': 'ClinicalTrials'}, {'ref_id': 'https://mct.aacrjournals.org/content/15/11/2586.long', 'ref_url': 'https://mct.aacrjournals.org/content/15/11/2586.long', 'ref_type': 'Other'}, {'ref_id': 'https://sorrentotherapeutics.com/research/immuno-oncology/abivertinib/', 'ref_url': 'https://sorrentotherapeutics.com/research/immuno-oncology/abivertinib/', 'ref_type': 'Other'}, {'ref_id': 'https://www.sciencedirect.com/science/article/pii/S2590098620300221', 'ref_url': 'https://www.sciencedirect.com/science/article/pii/S2590098620300221', 'ref_type': 'Other'}, {'ref_id': '27573423', 'ref_url': 'http://europepmc.org/abstract/MED/27573423', 'ref_type': 'PubMed'}, {'ref_id': '29392403', 'ref_url': 'http://europepmc.org/abstract/MED/29392403', 'ref_type': 'PubMed'}, {'ref_id': '32127939', 'ref_url': 'http://europepmc.org/abstract/MED/32127939', 'ref_type': 'PubMed'}], 'CHEMBL4297865': [{'ref_id': 'NCT02330367', 'ref_url': 'https://www.clinicaltrials.gov/ct2/show/NCT02330367', 'ref_type': 'ClinicalTrials'}, {'ref_id': 'https://mct.aacrjournals.org/content/15/11/2586.long', 'ref_url': 'https://mct.aacrjournals.org/content/15/11/2586.long', 'ref_type': 'Other'}, {'ref_id': 'https://sorrentotherapeutics.com/research/immuno-oncology/abivertinib/', 'ref_url': 'https://sorrentotherapeutics.com/research/immuno-oncology/abivertinib/', 'ref_type': 'Other'}, {'ref_id': 'https://www.sciencedirect.com/science/article/pii/S2590098620300221', 'ref_url': 'https://www.sciencedirect.com/science/article/pii/S2590098620300221', 'ref_type': 'Other'}, {'ref_id': '27573423', 'ref_url': 'http://europepmc.org/abstract/MED/27573423', 'ref_type': 'PubMed'}, {'ref_id': '29392403', 'ref_url': 'http://europepmc.org/abstract/MED/29392403', 'ref_type': 'PubMed'}, {'ref_id': '32127939', 'ref_url': 'http://europepmc.org/abstract/MED/32127939', 'ref_type': 'PubMed'}]}";"Abivertinib maleate (USAN)|Abivertinib (INN, USAN)|";"CHEMBL4297865"
"CHEMBL3353410";"OSIMERTINIB";"Small molecule";"4.0";"2015";"'-tinib'";"C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C";"Epidermal growth factor receptor erbB1 inhibitor";"Binds irreversibly to certain mutant forms of EGFR (T790M, L858R, and exon 19 deletion)";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3353410': [{'ref_id': 'setid=5e81b4a7-b971-45e1-9c31-29cea8c87ce7', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5e81b4a7-b971-45e1-9c31-29cea8c87ce7', 'ref_type': 'DailyMed'}, {'ref_id': '24893891', 'ref_url': 'http://europepmc.org/abstract/MED/24893891', 'ref_type': 'PubMed'}, {'ref_id': '25271963', 'ref_url': 'http://europepmc.org/abstract/MED/25271963', 'ref_type': 'PubMed'}], 'CHEMBL3545063': [{'ref_id': 'setid=5e81b4a7-b971-45e1-9c31-29cea8c87ce7', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5e81b4a7-b971-45e1-9c31-29cea8c87ce7', 'ref_type': 'DailyMed'}, {'ref_id': '24893891', 'ref_url': 'http://europepmc.org/abstract/MED/24893891', 'ref_type': 'PubMed'}, {'ref_id': '25271963', 'ref_url': 'http://europepmc.org/abstract/MED/25271963', 'ref_type': 'PubMed'}]}";"Osimertinib (INN, MI, USAN)|Osimertinib mesilate (JAN)|Osimertinib mesylate (MI, USAN)|Asandeutertinib (INN)|";"CHEMBL3353410"
"CHEMBL2138625";"AV-412 FREE BASE";"Small molecule";"1";"None";"";"C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC(C)(C)N1CCN(C)CC1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL6067986': [{'ref_id': '17888033', 'ref_url': 'http://europepmc.org/abstract/MED/17888033', 'ref_type': 'PubMed'}, {'ref_id': '19459856', 'ref_url': 'http://europepmc.org/abstract/MED/19459856', 'ref_type': 'PubMed'}]}";"Mp-412";"CHEMBL2138625"
"CHEMBL4650319";"MOBOCERTINIB";"Small molecule";"4.0";"2021";"'-tinib'";"C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C";"Epidermal growth factor receptor erbB1 inhibitor";"";"Inhibits EGFR exon 20 insertion mutants at lower concentrations than wild type. Also inhibits HER2, HER4 and BLK kinases.";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4650319': [{'ref_id': 'label/2021/215310s000lbl.pdf', 'ref_url': 'https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215310s000lbl.pdf', 'ref_type': 'FDA'}], 'CHEMBL4802239': [{'ref_id': 'label/2021/215310s000lbl.pdf', 'ref_url': 'https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215310s000lbl.pdf', 'ref_type': 'FDA'}]}";"Mobocertinib (INN, USAN)|";"CHEMBL4650319"
"CHEMBL2108359";"NIMOTUZUMAB";"Antibody";"3";"None";"'-mab; -mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2108359': [{'ref_id': '19584289', 'ref_url': 'http://europepmc.org/abstract/MED/19584289', 'ref_type': 'PubMed'}]}";"Nimotuzumab (INN, MI)|";"CHEMBL2108359"
"CHEMBL3137345";"DULIGOTUZUMAB";"Antibody";"2";"None";"'-mab; -mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3137345': [{'ref_id': '27843803', 'ref_url': 'http://europepmc.org/abstract/MED/27843803', 'ref_type': 'PubMed'}]}";"Duligotuzumab (INN, USAN)|";"CHEMBL3137345"
