"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"Parent Molecule ChEMBL ID"
"CHEMBL5314411";"EPITINIB";"Small molecule";"1";"None";"'-tinib'";"C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)N4CCN(CC)CC4)cc23)c1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL5314411': [{'ref_id': 'NCT02590952', 'ref_url': 'https://www.clinicaltrials.gov/ct2/show/NCT02590952', 'ref_type': 'ClinicalTrials'}, {'ref_id': 'http://www.hmplglobal.com/en/epitinib-hmpl-813/', 'ref_url': 'http://www.hmplglobal.com/en/epitinib-hmpl-813/', 'ref_type': 'Other'}]}";"Epitinib|Hmpl-813";"CHEMBL5314411"
"CHEMBL3109738";"JNJ-26483327";"Small molecule";"1";"None";"";"COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3";"Epidermal growth factor receptor erbB1 inhibitor";"Multi-targeted tyrosine kinase inhibitor";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3109738': [{'ref_id': '10.1016/S1359-6349(10)71870-X', 'ref_url': 'http://www.sciencedirect.com/science/article/pii/S135963491071870X', 'ref_type': 'DOI'}, {'ref_id': '20823884', 'ref_url': 'http://europepmc.org/abstract/MED/20823884', 'ref_type': 'PubMed'}]}";"Jnj-26483327";"CHEMBL3109738"
"CHEMBL3989988";"MODOTUXIMAB";"Antibody";"3";"None";"'-mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3989988': [{'ref_id': '20068188', 'ref_url': 'http://europepmc.org/abstract/MED/20068188', 'ref_type': 'PubMed'}]}";"Modotuximab (INN, USAN)|";"CHEMBL3989988"
"CHEMBL258940";"FALNIDAMOL";"Small molecule";"2";"None";"";"CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL258940': [{'ref_id': '11178955', 'ref_url': 'http://europepmc.org/abstract/MED/11178955', 'ref_type': 'PubMed'}, {'ref_id': '15199094', 'ref_url': 'http://europepmc.org/abstract/MED/15199094', 'ref_type': 'PubMed'}]}";"Falnidamol (INN, INN)|";"CHEMBL258940"
"CHEMBL3786098";"PF-06459988";"Small molecule";"2";"None";"";"C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](OC)C1";"Epidermal growth factor receptor erbB1 inhibitor";"";"Selective for T790M-containing EGFR";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3786098': [{'ref_id': '26756222', 'ref_url': 'http://europepmc.org/abstract/MED/26756222', 'ref_type': 'PubMed'}]}";"Pf-06459988";"CHEMBL3786098"
"CHEMBL4594549";"PIMURUTAMAB";"Antibody";"2";"None";"'-mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4594549': [{'ref_id': '33713216', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/33713216/', 'ref_type': 'PubMed'}]}";"Pimurutamab (INN)|";"CHEMBL4594549"
"CHEMBL2087361";"ICOTINIB";"Small molecule";"3";"None";"'-tinib'";"C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2087361': [{'ref_id': '22112293', 'ref_url': 'http://europepmc.org/abstract/MED/22112293', 'ref_type': 'PubMed'}, {'ref_id': '22446631', 'ref_url': 'http://europepmc.org/abstract/MED/22446631', 'ref_type': 'PubMed'}, {'ref_id': '23586056', 'ref_url': 'http://europepmc.org/abstract/MED/23586056', 'ref_type': 'PubMed'}]}";"Conmana|Icotinib hydrochloride|Bpi-2009|Icotinib";"CHEMBL2087361"
"CHEMBL2109389";"IMGATUZUMAB";"Antibody";"2";"None";"'-mab; -mab'";"None";"Epidermal growth factor receptor erbB1 antagonist";"Induces antibody-dependent cell-mediated cytotoxicity (ADCC).";"";"CHEMBL203";"Epidermal growth factor receptor";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109389': [{'ref_id': '23209031', 'ref_url': 'http://europepmc.org/abstract/MED/23209031', 'ref_type': 'PubMed'}]}";"Imgatuzumab (INN, USAN)|";"CHEMBL2109389"
"CHEMBL3545396";"BMS-690514";"Small molecule";"2";"None";"";"COc1cccc(Nc2ncnn3ccc(CN4CC[C@@H](N)[C@H](O)C4)c23)c1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545396': [{'ref_id': '21531814', 'ref_url': 'http://europepmc.org/abstract/MED/21531814', 'ref_type': 'PubMed'}, {'ref_id': '24130056', 'ref_url': 'http://europepmc.org/abstract/MED/24130056', 'ref_type': 'PubMed'}]}";"Bms 6690514|Bms-690514";"CHEMBL3545396"
"CHEMBL2107861";"ZALUTUMUMAB";"Antibody";"3";"None";"'-mab'";"None";"Epidermal growth factor receptor erbB1 antagonist";"Effectively blocks EGF-R signaling, and can potently induce Ab-dependent cell-mediated cytotoxicity (ADCC).";"";"CHEMBL203";"Epidermal growth factor receptor";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2107861': [{'ref_id': '15383606', 'ref_url': 'http://europepmc.org/abstract/MED/15383606', 'ref_type': 'PubMed'}]}";"Zalutumumab (INN, USAN, USAN)|";"CHEMBL2107861"
"CHEMBL598797";"CUDC-101";"Small molecule";"1";"None";"";"C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1";"Epidermal growth factor receptor erbB1 inhibitor";"Inhibits class I (HDAC1 HDAC2 HDAC3 HDAC8) and II (HDAC4 HDAC5 HDAC6 HDAC7 HDAC9 HDAC10) HDACs";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL598797': [{'ref_id': '20143778', 'ref_url': 'http://europepmc.org/abstract/MED/20143778', 'ref_type': 'PubMed'}]}";"Cudc-101";"CHEMBL598797"
"CHEMBL2110732";"DACOMITINIB ANHYDROUS";"Small molecule";"4.0";"2018";"'-tinib'";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1";"Epidermal growth factor receptor erbB1 inhibitor";"Dacomitinib is an irreversible pan-ERBB inhibitor.";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2105719': [{'ref_id': 'https://www.pfizer.com/files/news/esmo/dacomitinib_fact_sheet.pdf', 'ref_url': 'https://www.pfizer.com/files/news/esmo/dacomitinib_fact_sheet.pdf', 'ref_type': 'Other'}, {'ref_id': '18089823', 'ref_url': 'http://europepmc.org/abstract/MED/18089823', 'ref_type': 'PubMed'}], 'CHEMBL2110732': [{'ref_id': 'https://www.pfizer.com/files/news/esmo/dacomitinib_fact_sheet.pdf', 'ref_url': 'https://www.pfizer.com/files/news/esmo/dacomitinib_fact_sheet.pdf', 'ref_type': 'Other'}, {'ref_id': '18089823', 'ref_url': 'http://europepmc.org/abstract/MED/18089823', 'ref_type': 'PubMed'}]}";"Dacomitinib (INN, USAN, INN, USAN)|Dacomitinib hydrate (JAN)|";"CHEMBL2110732"
"CHEMBL2103842";"VARLITINIB";"Small molecule";"2";"None";"'-tinib'";"C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1";"Epidermal growth factor receptor erbB1 inhibitor";"Also ERBB4 inhibitor";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2103842': [{'ref_id': 'http://arraybiopharma.com/files/8813/9810/8032/PubAttachment460.pdf', 'ref_url': 'http://arraybiopharma.com/files/8813/9810/8032/PubAttachment460.pdf', 'ref_type': 'Other'}, {'ref_id': 'http://www.arraybiopharma.com/product-pipeline/other-compounds/aslan001-arry-543/', 'ref_url': 'http://www.arraybiopharma.com/product-pipeline/other-compounds/aslan001-arry-543/', 'ref_type': 'Other'}]}";"Varlitinib tosylate (USAN)|Varlitinib (INN, USAN, USAN)|";"CHEMBL2103842"
"CHEMBL1614725";"TAK-285";"Small molecule";"1";"None";"";"CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1614725': [{'ref_id': '10.1016/S1359-6349(08)72245-6', 'ref_url': 'http://www.sciencedirect.com/science/article/pii/S1359634908722456', 'ref_type': 'DOI'}, {'ref_id': '22003817', 'ref_url': 'http://europepmc.org/abstract/MED/22003817', 'ref_type': 'PubMed'}]}";"Tak-285|Tak285";"CHEMBL1614725"
"CHEMBL3623290";"AZD-3759";"Small molecule";"2";"None";"";"COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)C[C@H]1C";"Epidermal growth factor receptor erbB1 inhibitor";"";"Some selectivity for EGFR mutants over wild-type.";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3623290': [{'ref_id': '26313252', 'ref_url': 'http://europepmc.org/abstract/MED/26313252', 'ref_type': 'PubMed'}, {'ref_id': '27928026', 'ref_url': 'http://europepmc.org/abstract/MED/27928026', 'ref_type': 'PubMed'}]}";"Zorifertinib (INN)|";"CHEMBL3623290"
"CHEMBL3545308";"ROCILETINIB";"Small molecule";"3";"None";"'-tinib'";"C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1";"Epidermal growth factor receptor erbB1 inhibitor";"Irreversible inhibitor, EGFR T790M mutant selective";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545308': [{'ref_id': '24723450', 'ref_url': 'http://europepmc.org/abstract/MED/24723450', 'ref_type': 'PubMed'}]}";"Rociletinib (INN, USAN, USAN)|";"CHEMBL3545308"
"CHEMBL3663929";"NAQUOTINIB";"Small molecule";"3";"None";"'-tinib'";"C=CC(=O)N1CC[C@@H](Oc2nc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)cc3)c(C(N)=O)nc2CC)C1";"Epidermal growth factor receptor erbB1 inhibitor";"";"Active against WT and variant EGFR. Increased activity against activating and resistance mutants vs. wild-type target.";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3663929': [{'ref_id': '28954786', 'ref_url': 'http://europepmc.org/abstract/MED/28954786', 'ref_type': 'PubMed'}, {'ref_id': '29386539', 'ref_url': 'http://europepmc.org/abstract/MED/29386539', 'ref_type': 'PubMed'}, {'ref_id': '29807396', 'ref_url': 'http://europepmc.org/abstract/MED/29807396', 'ref_type': 'PubMed'}, {'ref_id': '31227004', 'ref_url': 'http://europepmc.org/abstract/MED/31227004', 'ref_type': 'PubMed'}]}";"Naquotinib (INN, USAN)|Naquotinib mesilate (JAN)|Naquotinib mesylate (USAN)|";"CHEMBL3663929"
"CHEMBL607707";"PELITINIB";"Small molecule";"2";"None";"'-tinib'";"CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C";"Epidermal growth factor receptor erbB1 inhibitor";"Irreversible inhibitor";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL607707': [{'ref_id': '12502359', 'ref_url': 'http://europepmc.org/abstract/MED/12502359', 'ref_type': 'PubMed'}, {'ref_id': '15715478', 'ref_url': 'http://europepmc.org/abstract/MED/15715478', 'ref_type': 'PubMed'}]}";"Pelitinib (INN, USAN, USAN)|";"CHEMBL607707"
"CHEMBL49120";"PD-0166285";"Small molecule";"1";"None";"";"CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1";"Epidermal growth factor receptor erbB1 inhibitor";"Multi-targeted kinase irreversible inhibitor";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545196': [{'ref_id': '10638483', 'ref_url': 'http://europepmc.org/abstract/MED/10638483', 'ref_type': 'PubMed'}]}";"Pd-0166285 dihydrochloride|Pd-0166285 hydrochloride";"CHEMBL49120"
"CHEMBL3787344";"NAZARTINIB";"Small molecule";"2";"None";"'-tinib'";"Cc1cc(C(=O)Nc2nc3cccc(Cl)c3n2[C@@H]2CCCCN(C(=O)/C=C/CN(C)C)C2)ccn1";"Epidermal growth factor receptor erbB1 inhibitor";"EGF816 is an irreversible TKI that demonstrates selectivity for mutant EGFRs compared with WT EGFR and targets activating and resistance mutations with equal potency (doi: 10.1158/1538-7445.AM2014-1734).";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3787344': [{'ref_id': 'NCT02108964', 'ref_url': 'https://www.clinicaltrials.gov/ct2/show/NCT02108964', 'ref_type': 'ClinicalTrials'}, {'ref_id': '10.1158/1538-7445.AM2014-1734', 'ref_url': 'http://cancerres.aacrjournals.org/content/74/19_Supplement/1734', 'ref_type': 'DOI'}, {'ref_id': '31954624', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/31954624/', 'ref_type': 'PubMed'}]}";"Nazartinib mesylate (USAN)|Nazartinib (INN, USAN)|";"CHEMBL3787344"
"CHEMBL3545311";"BRIGATINIB";"Small molecule";"4";"2017";"'-tinib'";"COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1";"Epidermal growth factor receptor erbB1 inhibitor";"Inhibits ALK and EGFR gatekeeper mutants. Does not inhibit wild type (native) EGFR.";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545311': [{'ref_id': 'http://www.ariad.com/AP26113', 'ref_url': 'http://www.ariad.com/AP26113', 'ref_type': 'Other'}, {'ref_id': 'http://www.ariad.com/pdf/Rivera_2012_AACR_POSTER_AP26113_noQRcode.pdf', 'ref_url': 'http://www.ariad.com/pdf/Rivera_2012_AACR_POSTER_AP26113_noQRcode.pdf', 'ref_type': 'Other'}, {'ref_id': '25888090', 'ref_url': 'http://europepmc.org/abstract/MED/25888090', 'ref_type': 'PubMed'}]}";"Brigatinib (INN, MI, USAN, USAN)|";"CHEMBL3545311"
"CHEMBL2107863";"RINDOPEPIMUT";"Unknown";"3";"None";"";"None";"Epidermal growth factor receptor erbB1 vaccine antigen";"Cancer vaccine";"Targets the EGFRvIII mutation site";"CHEMBL203";"Epidermal growth factor receptor";"VACCINE ANTIGEN";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2107863': [{'ref_id': '28274144', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/28274144/', 'ref_type': 'PubMed'}]}";"Rindopepimut (USAN)|";"CHEMBL2107863"
"CHEMBL4297774";"AMIVANTAMAB";"Antibody";"4";"2021";"'-mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"Including exon 20 deletions, C797S, T790M";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4297774': [{'ref_id': '32414908', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/32414908/', 'ref_type': 'PubMed'}]}";"Amivantamab (INN, USAN)|";"CHEMBL4297774"
"CHEMBL3707277";"DEPATUXIZUMAB MAFODOTIN";"Antibody drug conjugate";"3";"None";"'-dotin; -mab; -mab'";"None";"Epidermal growth factor receptor erbB1 binding agent";"";"";"CHEMBL203";"Epidermal growth factor receptor";"BINDING AGENT";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3707277': [{'ref_id': '28361465', 'ref_url': 'http://europepmc.org/abstract/MED/28361465', 'ref_type': 'PubMed'}]}";"Depatuxizumab mafodotin (INN, USAN)|";"CHEMBL3707277"
"CHEMBL553";"ERLOTINIB";"Small molecule";"4";"2004";"'-tinib'";"C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1079742': [{'ref_id': 'setid=57bccb29-1c47-4c64-ab6a-77960a91cc20#section-13', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=57bccb29-1c47-4c64-ab6a-77960a91cc20#section-13', 'ref_type': 'DailyMed'}]}";"Erlotinib (INN, MI)|Erlotinib hydrochloride (INN, JAN, MI, USAN, USP)|";"CHEMBL553"
"CHEMBL554";"LAPATINIB";"Small molecule";"4";"2007";"'-tinib'";"CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1201179': [{'ref_id': 'setid=63319b01-cad6-4d0a-c39b-938fa951a808#section-13', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=63319b01-cad6-4d0a-c39b-938fa951a808#section-13', 'ref_type': 'DailyMed'}]}";"Lapatinib (INN, MI)|Lapatinib ditoluenesulfonate monohydrate (MI)|Lapatinib ditosylate (USAN)|Lapatinib tosilate hydrate (JAN)|";"CHEMBL554"
"CHEMBL1201577";"CETUXIMAB";"Antibody";"4";"2004";"'-mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1201577': [{'ref_id': 'setid=8bc6397e-4bd8-4d37-a007-a327e4da34d9', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8bc6397e-4bd8-4d37-a007-a327e4da34d9', 'ref_type': 'DailyMed'}]}";"Cetuximab (INN, MI, USAN)|Cetuximab (genetical recombination) (JAN)|";"CHEMBL1201577"
"CHEMBL2408045";"SAPITINIB";"Small molecule";"2";"None";"'-tinib'";"CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2408045': [{'ref_id': '20145185', 'ref_url': 'http://europepmc.org/abstract/MED/20145185', 'ref_type': 'PubMed'}, {'ref_id': '24900741', 'ref_url': 'http://europepmc.org/abstract/MED/24900741', 'ref_type': 'PubMed'}]}";"Sapitinib (INN, INN)|";"CHEMBL2408045"
"CHEMBL4650281";"CLN-081";"Small molecule";"3";"None";"";"C=CC(=O)N[C@H]1C=C(C)c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2C1";"Epidermal growth factor receptor erbB1 inhibitor";"Increased activity against EGFR mutants vs. wild-type";"Increased activity against EGFR mutants vs. wild-type";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4650281': [{'ref_id': 'https://www.annalsofoncology.org/article/S0923-7534(20)41655-2/fulltext', 'ref_url': 'https://www.annalsofoncology.org/article/S0923-7534(20)41655-2/fulltext', 'ref_type': 'Other'}, {'ref_id': '31467113', 'ref_url': 'http://europepmc.org/abstract/MED/31467113', 'ref_type': 'PubMed'}]}";"Zipalertinib (INN)|";"CHEMBL4650281"
"CHEMBL4650290";"GC1118";"Unknown";"2";"None";"";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4650290': [{'ref_id': 'https://mct.aacrjournals.org/content/15/2/251', 'ref_url': 'https://mct.aacrjournals.org/content/15/2/251', 'ref_type': 'Other'}, {'ref_id': '31164456', 'ref_url': 'http://europepmc.org/abstract/MED/31164456', 'ref_type': 'PubMed'}, {'ref_id': '31771279', 'ref_url': 'http://europepmc.org/abstract/MED/31771279', 'ref_type': 'PubMed'}]}";"Gc1118";"CHEMBL4650290"
"CHEMBL2029988";"CEP-32496";"Small molecule";"2";"None";"";"COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2029988': [{'ref_id': 'http://ignyta.com/wp-content/uploads/2015/11/RXDX-105-ENA-Clinical-Poster.pdf', 'ref_url': 'http://ignyta.com/wp-content/uploads/2015/11/RXDX-105-ENA-Clinical-Poster.pdf', 'ref_type': 'Other'}]}";"Agerafenib (INN)|";"CHEMBL2029988"
"CHEMBL2109391";"MDX-447";"Unknown";"2";"None";"";"None";"Epidermal growth factor receptor erbB1 cross-linking agent";"Binds to the EGFR and to the high-affinity immunoglobulin G (IgG) receptor CD64 both separately and simultaneously. Mediates antibody-dependent cell-mediated cytotoxicity (ADCC) with lysis of EGFR overexpressing cell lines.";"";"CHEMBL203";"Epidermal growth factor receptor";"CROSS-LINKING AGENT";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2109391': [{'ref_id': '17602224', 'ref_url': 'http://europepmc.org/abstract/MED/17602224', 'ref_type': 'PubMed'}]}";"Mdx-447";"CHEMBL2109391"
"CHEMBL180022";"NERATINIB";"Small molecule";"4.0";"2017";"'-tinib'";"CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C";"Epidermal growth factor receptor erbB1 inhibitor";"Neratinib is an irreversible pan-HER tyrosine kinase inhibitor.";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3989921': [{'ref_id': 'label/2017/208051s000lbl.pdf', 'ref_url': 'https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208051s000lbl.pdf', 'ref_type': 'FDA'}, {'ref_id': '15715478', 'ref_url': 'http://europepmc.org/abstract/MED/15715478', 'ref_type': 'PubMed'}, {'ref_id': '26089701', 'ref_url': 'http://europepmc.org/abstract/MED/26089701', 'ref_type': 'PubMed'}], 'CHEMBL180022': [{'ref_id': 'label/2017/208051s000lbl.pdf', 'ref_url': 'https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208051s000lbl.pdf', 'ref_type': 'FDA'}, {'ref_id': '15715478', 'ref_url': 'http://europepmc.org/abstract/MED/15715478', 'ref_type': 'PubMed'}, {'ref_id': '26089701', 'ref_url': 'http://europepmc.org/abstract/MED/26089701', 'ref_type': 'PubMed'}]}";"Neratinib (INN, MI, USAN, USAN)|";"CHEMBL180022"
"CHEMBL4558324";"LAZERTINIB";"Small molecule";"4.0";"2024";"'-tinib'";"C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1";"Epidermal growth factor receptor erbB1 inhibitor";"";"Inhibits EGFR exon 19 deletions at lower concentrations than wildtype EGFR.";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL6068478': [{'ref_id': 'label/2024/219008s000lbl.pdf', 'ref_url': 'https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219008s000lbl.pdf', 'ref_type': 'FDA'}], 'CHEMBL4558324': [{'ref_id': '34028784', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/34028784/', 'ref_type': 'PubMed'}]}";"Lazertinib (INN, USAN)|Lazertinib mesilate hydrate (JAN)|Lazertinib mesylate (USAN)|";"CHEMBL4558324"
"CHEMBL4761468";"AUMOLERTINIB";"Small molecule";"3.0";"None";"'-tinib'";"C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C";"Epidermal growth factor receptor erbB1 inhibitor";"";"Targets EGFR with activating or T790M mutations.";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4761468': [{'ref_id': '32916310', 'ref_url': 'http://europepmc.org/abstract/MED/32916310', 'ref_type': 'PubMed'}, {'ref_id': '33656275', 'ref_url': 'http://europepmc.org/abstract/MED/33656275', 'ref_type': 'PubMed'}]}";"Aumolertinib (INN, USAN)|Aumolertinib mesylate (USAN)|";"CHEMBL4761468"
"CHEMBL4297842";"TOMUZOTUXIMAB";"Antibody";"2";"None";"'-mab'";"None";"Epidermal growth factor receptor erbB1 inhibitor";"";"";"CHEMBL203";"Epidermal growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4297842': [{'ref_id': 'https://ascopubs.org/doi/abs/10.1200/JCO.2018.36.5_suppl.59', 'ref_url': 'https://ascopubs.org/doi/abs/10.1200/JCO.2018.36.5_suppl.59', 'ref_type': 'Other'}, {'ref_id': '29464112', 'ref_url': 'http://europepmc.org/abstract/MED/29464112', 'ref_type': 'PubMed'}]}";"Tomuzotuximab (INN)|";"CHEMBL4297842"
