"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1706737";"";"None";"378.79";"0";"2.60";"SID56316149";"CN(Cc1c(F)cccc1Cl)C(=O)CNC(=O)c1ccc2c(c1)OCO2";"IC50";"'='";"6041.0";"nM";"5.22";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"6.041"
"CHEMBL1334802";"";"None";"317.39";"0";"2.27";"SID24803884";"CCOC(=O)c1ccc(NC(=O)NC2CC3CCC(C2)N3)cc1";"IC50";"'='";"31734.0";"nM";"4.50";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"31.734"
"CHEMBL1863690";"";"None";"421.55";"0";"4.02";"SID121284997";"Oc1nc2ccccc2n1C1CCN(C(c2nnnn2C2CCCCC2)C2CC2)CC1";"IC50";"'='";"3139.0";"nM";"5.50";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"3.139"
"CHEMBL1893105";"";"None";"380.45";"0";"3.43";"SID121285871";"COc1ccc(CCC(=O)Nc2c(-c3ccc(N(C)C)cc3)n[nH]c2O)cc1";"IC50";"'>'";"73450.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"73.45"
"CHEMBL1407474";"";"None";"356.37";"0";"-0.72";"SID26657917";"O=C(O)CC(CCc1ccccc1)OC1OC(CO)C(O)C(O)C1O";"IC50";"'='";"50230.0";"nM";"4.30";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"50.23"
"CHEMBL1538241";"";"None";"348.43";"0";"1.77";"SID4244101";"CCc1nnc(NC(=O)CCc2nc(C3=CCN(C)CC3)no2)s1";"IC50";"'='";"3810.0";"nM";"5.42";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"3.81"
"CHEMBL175266";"";"None";"258.23";"0";"2.32";"SID26664480";"Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12";"IC50";"'='";"834.68";"nM";"6.08";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"0.83468"
"CHEMBL1531057";"";"None";"451.91";"0";"4.25";"SID49731919";"CCOc1ccc(CCNC(=O)CN2C(=O)c3cccnc3Oc3ccc(Cl)cc32)cc1";"IC50";"'>'";"73455.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"73.455"
"CHEMBL599924";"";"None";"309.33";"0";"1.03";"SID24807290";"CCn1nc(/C=C/c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2";"IC50";"'>'";"73457.0";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"73.457"
"CHEMBL1972558";"";"None";"353.38";"0";"2.40";"SID103059889";"O=C(c1cc(COc2cccc3cccnc23)on1)N1CCC[C@H]1CO";"IC50";"'='";"2939.0";"nM";"5.53";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"2.939"
"CHEMBL1724488";"";"None";"580.73";"2";"5.51";"SID89855044";"CN(Cc1ccccc1)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CCN(C(=O)C4CCCC4)CC3)cc2)cc1";"IC50";"'='";"20739.0";"nM";"4.68";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963907";"PUBCHEM_BIOASSAY: TRFRET-based biochemical high throughput dose response assay for inhibitors of the interaction of the Ras and Rab interactor 1 protein (Rin1) and the c-abl oncogene 1, non-receptor tyrosine kinase (Abl). (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3885630";"Ras and Rab interactor 1/Tyrosine-protein kinase ABL1";"Homo sapiens";"PROTEIN-PROTEIN INTERACTION";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";"";"";"20.739"
